Provider Id,Provider Name,Total_Discharges
100007,FLORIDA HOSPITAL,56837.0
330101,NEW YORK-PRESBYTERIAN HOSPITAL,40849.0
450388,METHODIST HOSPITAL,35755.0
80001,"CHRISTIANA CARE HEALTH SERVICES, INC.",34709.0
440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,30103.0
220074,"SOUTHCOAST HOSPITAL GROUP, INC",27490.0
70022,YALE-NEW HAVEN HOSPITAL,26876.0
50625,CEDARS-SINAI MEDICAL CENTER,26168.0
220071,MASSACHUSETTS GENERAL HOSPITAL,25893.0
330106,NORTH SHORE UNIVERSITY HOSPITAL,25736.0
260032,BARNES JEWISH HOSPITAL,25675.0
330059,MONTEFIORE MEDICAL CENTER,25580.0
340002,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,25113.0
450184,MEMORIAL HERMANN HOSPITAL SYSTEM,25107.0
10039,HUNTSVILLE HOSPITAL,24559.0
340141,NEW HANOVER REGIONAL MEDICAL CENTER,24160.0
330024,MOUNT SINAI HOSPITAL,24137.0
140010,EVANSTON HOSPITAL,23976.0
450058,BAPTIST MEDICAL CENTER,23502.0
360180,CLEVELAND CLINIC,22576.0
390133,LEHIGH VALLEY HOSPITAL,22422.0
100018,NAPLES COMMUNITY HOSPITAL,22224.0
230038,SPECTRUM HEALTH - BUTTERWORTH CAMPUS,22174.0
360006,RIVERSIDE METHODIST HOSPITAL,22014.0
520138,AURORA ST LUKES MEDICAL CENTER,21910.0
310041,COMMUNITY MEDICAL CENTER,21655.0
510022,CHARLESTON AREA MEDICAL CENTER,21384.0
390164,UPMC PRESBYTERIAN SHADYSIDE,21266.0
440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,20937.0
150056,INDIANA UNIVERSITY HEALTH,20802.0
440048,BAPTIST MEMORIAL HOSPITAL,20669.0
310022,VIRTUA WEST JERSEY HOSPITALS BERLIN,20428.0
490021,"CENTRA  HEALTH, INC",20282.0
340091,"MOSES H CONE MEMORIAL HOSPITAL, THE",20279.0
100012,LEE MEMORIAL HOSPITAL,19776.0
70025,HARTFORD HOSPITAL,19531.0
220163,UMASS MEMORIAL MEDICAL CENTER INC,19519.0
340113,CAROLINAS MEDICAL CENTER/BEHAV HEALTH,19511.0
100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,19444.0
10092,D C H REGIONAL MEDICAL CENTER,19444.0
220077,BAYSTATE MEDICAL CENTER,19301.0
100006,ORLANDO HEALTH,19147.0
220110,BRIGHAM AND WOMEN'S HOSPITAL,19098.0
150082,DEACONESS HOSPITAL INC,19051.0
440091,"MEMORIAL HEALTHCARE SYSTEM, INC",19003.0
230130,"BEAUMONT HOSPITAL, ROYAL OAK",18922.0
100157,LAKELAND REGIONAL MEDICAL CENTER,18910.0
180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,18843.0
340115,FIRSTHEALTH MOORE REGIONAL HOSPITAL,18819.0
240057,ABBOTT NORTHWESTERN HOSPITAL,18742.0
310086,KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV,18673.0
140281,NORTHWESTERN MEMORIAL HOSPITAL,18544.0
490063,INOVA FAIRFAX HOSPITAL,18495.0
370091,"SAINT FRANCIS HOSPITAL, INC",18466.0
340030,DUKE UNIVERSITY HOSPITAL,18364.0
190111,WILLIS KNIGHTON MEDICAL CENTER,18319.0
240010,MAYO CLINIC HOSPITAL ROCHESTER,18319.0
10033,UNIVERSITY OF ALABAMA HOSPITAL,18298.0
140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,18236.0
450021,BAYLOR UNIVERSITY MEDICAL CENTER,18214.0
110035,WELLSTAR KENNESTONE HOSPITAL,18190.0
310001,HACKENSACK UNIVERSITY MEDICAL CENTER,18090.0
310012,VALLEY HOSPITAL,18012.0
340028,CAPE FEAR VALLEY MEDICAL CENTER,17965.0
230156,ST JOSEPH MERCY HOSPITAL,17915.0
250004,NORTH MISSISSIPPI MEDICAL CENTER,17904.0
100087,SARASOTA MEMORIAL HOSPITAL,17886.0
230046,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,17782.0
220086,BETH ISRAEL DEACONESS MEDICAL CENTER,17683.0
230195,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,17397.0
330214,NYU HOSPITALS CENTER,17278.0
390174,THOMAS JEFFERSON UNIVERSITY HOSPITAL,17198.0
220100,SOUTH SHORE HOSPITAL,17055.0
110029,"NORTHEAST GEORGIA MEDICAL CENTER, INC",16939.0
450135,TEXAS HEALTH HARRIS METHODIST FORT WORTH,16823.0
160083,MERCY MEDICAL CENTER-DES MOINES,16814.0
140062,PALOS COMMUNITY HOSPITAL,16804.0
100019,HOLMES REGIONAL MEDICAL CENTER,16764.0
330195,LONG ISLAND JEWISH MEDICAL CENTER,16746.0
210009,"JOHNS HOPKINS HOSPITAL, THE",16700.0
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,16664.0
330005,KALEIDA HEALTH,16609.0
340047,NORTH CAROLINA BAPTIST HOSPITAL,16577.0
180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,16555.0
390100,LANCASTER GENERAL HOSPITAL,16503.0
340069,"WAKEMED, RALEIGH CAMPUS",16473.0
490112,CJW MEDICAL CENTER,16412.0
360085,OHIO STATE UNIVERSITY HOSPITALS,16198.0
240036,ST CLOUD HOSPITAL,16178.0
250078,FORREST GENERAL HOSPITAL,16115.0
310073,JERSEY SHORE UNIVERSITY MEDICAL CENTER,16101.0
420051,MCLEOD REGIONAL MEDICAL CENTER-PEE DEE,16019.0
370114,"ST JOHN MEDICAL CENTER, INC",15946.0
390049,ST LUKE'S HOSPITAL BETHLEHEM,15866.0
140067,SAINT FRANCIS MEDICAL CENTER,15752.0
140148,MEMORIAL MEDICAL CENTER,15694.0
450102,MOTHER FRANCES HOSPITAL,15606.0
330194,MAIMONIDES MEDICAL CENTER,15578.0
250048,ST DOMINIC-JACKSON MEMORIAL HOSPITAL,15469.0
150084,ST VINCENT HOSPITAL & HEALTH SERVICES,15456.0
210023,ANNE ARUNDEL MEDICAL CENTER,15427.0
330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,15410.0
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,15338.0
330167,WINTHROP-UNIVERSITY HOSPITAL,15310.0
340114,REX HOSPITAL,15300.0
100080,JFK MEDICAL CENTER,15281.0
200009,MAINE MEDICAL CENTER,15230.0
100220,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,15199.0
230165,ST JOHN HOSPITAL AND MEDICAL CENTER,15189.0
230097,MUNSON MEDICAL CENTER,15150.0
100168,BOCA RATON REGIONAL HOSPITAL,15112.0
50093,SAINT AGNES MEDICAL CENTER,15106.0
390046,YORK HOSPITAL,15091.0
230230,EDWARD W SPARROW HOSPITAL,15078.0
70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,15072.0
140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,15053.0
410007,RHODE ISLAND HOSPITAL,14955.0
330182,"ST FRANCIS HOSPITAL, ROSLYN",14900.0
310019,ST JOSEPH'S REGIONAL MEDICAL CENTER,14617.0
210019,PENINSULA REGIONAL MEDICAL CENTER,14600.0
230053,HENRY FORD HOSPITAL,14552.0
330393,UNIVERSITY HOSPITAL ( STONY BROOK ),14542.0
390231,ABINGTON MEMORIAL HOSPITAL,14513.0
230130,WILLIAM BEAUMONT HOSPITAL,14469.0
150125,COMMUNITY HOSPITAL,14452.0
250102,MISSISSIPPI BAPTIST MEDICAL CENTER,14337.0
180035,ST ELIZABETH MEDICAL CENTER NORTH,14284.0
230047,HENRY FORD MACOMB HOSPITAL,14233.0
340040,VIDANT MEDICAL CENTER,14067.0
490022,"MARY WASHINGTON HOSPITAL, INC",13941.0
450040,COVENANT MEDICAL CENTER,13929.0
230141,MCLAREN FLINT,13896.0
100128,TAMPA GENERAL HOSPITAL,13878.0
100290,"VILLAGES REGIONAL HOSPITAL, THE",13787.0
140119,RUSH UNIVERSITY MEDICAL CENTER,13689.0
330160,STATEN ISLAND UNIVERSITY HOSPITAL,13541.0
390067,PINNACLE HEALTH HOSPITALS,13513.0
490009,UNIVERSITY OF VIRGINIA MEDICAL CENTER,13509.0
170040,UNIVERSITY OF KANSAS HOSPITAL,13428.0
330023,VASSAR BROTHERS MEDICAL CENTER,13297.0
160082,IOWA METHODIST MEDICAL CENTER,13286.0
50573,EISENHOWER MEDICAL CENTER,13278.0
450617,CLEAR LAKE REGIONAL MEDICAL CENTER,13230.0
260077,ST ANTHONY'S MEDICAL CENTER,13230.0
240053,PARK NICOLLET METHODIST HOSPITAL,13193.0
350011,SANFORD MEDICAL CENTER FARGO,13175.0
100212,OCALA REGIONAL MEDICAL CENTER,13170.0
70033,DANBURY HOSPITAL,13161.0
110028,UNIVERSITY HOSPITAL,13107.0
260108,MISSOURI BAPTIST MEDICAL CENTER,13105.0
450083,EAST TEXAS MEDICAL CENTER,13063.0
220012,CAPE COD HOSPITAL,13038.0
100062,MUNROE REGIONAL MEDICAL CENTER,13034.0
240106,REGIONS HOSPITAL,13013.0
330013,ALBANY MEDICAL CENTER HOSPITAL,12983.0
210012,SINAI HOSPITAL OF BALTIMORE,12910.0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,12853.0
100258,DELRAY MEDICAL CENTER,12821.0
180009,KING'S DAUGHTERS' MEDICAL CENTER,12817.0
520098,UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY,12809.0
440063,JOHNSON CITY MEDICAL CENTER,12788.0
450358,HOUSTON METHODIST HOSPITAL,12780.0
310052,OCEAN MEDICAL CENTER,12745.0
110083,PIEDMONT HOSPITAL,12720.0
500054,PROVIDENCE SACRED HEART MEDICAL CENTER,12691.0
330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,12689.0
330126,ORANGE REGIONAL MEDICAL CENTER,12687.0
260096,NORTH KANSAS CITY HOSPITAL,12649.0
290001,RENOWN REGIONAL MEDICAL CENTER,12516.0
190064,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,12514.0
330198,SOUTH NASSAU COMMUNITIES HOSPITAL,12507.0
420079,TRIDENT MEDICAL CENTER,12493.0
260020,MERCY HOSPITAL ST LOUIS,12460.0
100127,MORTON PLANT HOSPITAL,12455.0
160058,UNIVERSITY OF IOWA HOSPITAL & CLINICS,12366.0
320021,PRESBYTERIAN HOSPITAL,12298.0
200033,EASTERN MAINE MEDICAL CENTER,12264.0
330236,NEW YORK METHODIST HOSPITAL,12235.0
310076,SAINT BARNABAS MEDICAL CENTER,12219.0
230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,12214.0
230269,"BEAUMONT HOSPITAL, TROY",12195.0
230002,ST MARY MERCY HOSPITAL,12184.0
210004,HOLY CROSS HOSPITAL,12170.0
390258,ST MARY MEDICAL CENTER,12153.0
340061,UNIVERSITY OF NORTH CAROLINA HOSPITAL,12148.0
260068,BOONE HOSPITAL CENTER,12134.0
180067,UNIVERSITY OF KENTUCKY HOSPITAL,12087.0
110010,EMORY UNIVERSITY HOSPITAL,12085.0
50026,GROSSMONT HOSPITAL,12030.0
390137,WILKES-BARRE GENERAL HOSPITAL,12012.0
450046,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,11965.0
430027,SANFORD USD MEDICAL CENTER,11947.0
100088,BAPTIST MEDICAL CENTER JACKSONVILLE,11909.0
180088,"NORTON HOSPITALS, INC",11856.0
150023,UNION HOSPITAL INC,11855.0
330045,HUNTINGTON HOSPITAL,11854.0
490007,SENTARA NORFOLK GENERAL HOSPITAL,11829.0
360051,MIAMI VALLEY HOSPITAL,11819.0
210002,UNIVERSITY OF MARYLAND MEDICAL CENTER,11714.0
440104,ERLANGER MEDICAL CENTER,11632.0
450237,CHRISTUS SANTA ROSA HOSPITAL,11615.0
390115,ARIA HEALTH,11565.0
360230,HILLCREST HOSPITAL,11539.0
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,11526.0
210005,FREDERICK MEMORIAL HOSPITAL,11519.0
150089,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,11512.0
210011,SAINT AGNES HOSPITAL,11486.0
450054,SCOTT & WHITE MEDICAL CENTER - TEMPLE,11433.0
310015,MORRISTOWN MEDICAL CENTER,11428.0
190002,LAFAYETTE GENERAL MEDICAL CENTER,11424.0
90011,MEDSTAR WASHINGTON HOSPITAL CENTER,11423.0
390111,HOSPITAL OF UNIV OF PENNSYLVANIA,11410.0
230029,ST JOSEPH MERCY OAKLAND,11404.0
420073,LEXINGTON MEDICAL CENTER,11372.0
450462,TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,11328.0
100084,LEESBURG REGIONAL MEDICAL CENTER,11327.0
420027,ANMED HEALTH,11325.0
230041,MCLAREN BAY REGION,11314.0
140172,FRANCISCAN ST JAMES HEALTH,11313.0
420004,MUSC MEDICAL CENTER,11287.0
330057,ST PETER'S HOSPITAL,11252.0
490024,CARILION ROANOKE MEMORIAL HOSPITAL,11242.0
50039,ENLOE MEDICAL CENTER,11242.0
110087,GWINNETT MEDICAL CENTER,11207.0
50438,HUNTINGTON MEMORIAL HOSPITAL,11205.0
140231,EDWARD HOSPITAL,11188.0
240038,UNITED HOSPITAL,11185.0
210001,MERITUS MEDICAL CENTER,11184.0
210029,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,11183.0
150021,PARKVIEW REGIONAL MEDICAL CENTER,11157.0
50060,COMMUNITY REGIONAL MEDICAL CENTER,11101.0
490118,HENRICO DOCTORS' HOSPITAL,11090.0
510007,ST MARY'S MEDICAL CENTER,11085.0
300003,MARY HITCHCOCK MEMORIAL HOSPITAL,11078.0
230117,BORGESS MEDICAL CENTER,11076.0
170123,WESLEY MEDICAL CENTER,11049.0
420023,ST FRANCIS-DOWNTOWN,11030.0
440173,PARKWEST MEDICAL CENTER,10934.0
210027,WESTERN MARYLAND REGIONAL MEDICAL CENTER,10929.0
290039,MOUNTAINVIEW HOSPITAL,10924.0
140213,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,10923.0
100213,BLAKE MEDICAL CENTER,10867.0
100057,FLORIDA HOSPITAL WATERMAN,10855.0
490048,LEWISGALE MEDICAL CENTER,10849.0
50057,KAWEAH DELTA MEDICAL CENTER,10847.0
310108,JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY,10842.0
440120,TENNOVA HEALTHCARE,10801.0
30088,BANNER BAYWOOD MEDICAL CENTER,10787.0
500027,SWEDISH MEDICAL CENTER,10771.0
160033,GENESIS MEDICAL CENTER-DAVENPORT,10749.0
370001,HILLCREST MEDICAL CENTER,10744.0
310057,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,10675.0
510001,WEST VIRGINIA UNIVERSITY HOSPITALS,10672.0
360027,AKRON GENERAL MEDICAL CENTER,10660.0
180010,SAINT JOSEPH HOSPITAL,10638.0
220033,BEVERLY HOSPITAL CORPORATION,10627.0
